sim time,cam x,gazebo x,raw image received
0.057,,0.0,
0.059,,0.0,
0.06,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.061,,0.0,
0.079,,0.0,
0.079,,0.0,
0.079,,0.0,
0.079,,0.0,
0.082,,0.0,
0.082,,0.0,
0.082,,0.0,
0.082,,0.0,
0.082,,0.0,
0.082,,0.0,
0.091,,0.0,
0.091,,0.0,
0.091,,0.0,
0.091,,0.0,
0.091,,0.0,
0.094,,0.0,
0.094,,0.0,
0.094,,0.0,
0.094,,0.0,
0.095,,0.0,
0.095,,0.0,
0.095,,0.0,
0.098,,0.0,
0.098,,0.0,
0.098,,0.0,
0.101,,0.0,
0.101,,0.0,
0.101,,0.0,
0.104,,0.0,
0.104,,0.0,
0.104,,0.0,
0.108,,0.0,
0.108,,0.0,
0.108,,0.0,
0.108,,0.0,
0.114,,0.0,
0.114,,0.0,
0.114,,0.0,
0.117,,0.0,
0.117,,0.0,
0.117,,-2.68700177885787e-07,
0.12,,-5.647147600300479e-07,
0.12,,-8.627041190233917e-07,
0.12,,-1.1643588134589445e-06,
0.121,,-1.4762716192225406e-06,
0.121,,-1.7959787088252681e-06,
0.121,,-2.1233533696115917e-06,
0.126,,-2.4585299079745995e-06,
0.126,,-2.801655141730771e-06,
0.126,,-3.152865050842489e-06,
0.129,,-3.5122869970107463e-06,
0.129,,-3.880043378038379e-06,
0.129,,-4.256254294104445e-06,
0.132,,-4.641039324804295e-06,
0.135,,-5.034518695408101e-06,
0.135,,-5.43681649261558e-06,
0.135,,-5.848051897083157e-06,
0.135,,-6.268395338942651e-06,
0.135,,-6.697888776583293e-06,
0.138,,-7.136706301557567e-06,
0.138,,-7.561051708564165e-06,
0.147,,-8.02394928220635e-06,
0.147,,-8.501684739873264e-06,
0.148,,-8.949858960043968e-06,
0.148,,-9.428213191669972e-06,
0.148,,-9.927535013318065e-06,
0.156,,-1.0438914125220041e-05,
0.156,,-1.0960328705558981e-05,
0.156,,-1.1491933951135312e-05,
0.156,,-1.203388796635711e-05,
0.156,,-1.2586354641371399e-05,
0.156,,-1.3149898858155026e-05,
0.156,,-1.3724249745311774e-05,
0.156,,-1.430953762921422e-05,
0.156,,-1.4905997838934183e-05,
0.156,,-1.5513657217722137e-05,
0.156,,-1.6132660499688184e-05,
0.156,,-1.6763330713176678e-05,
0.156,,-1.740582448722092e-05,
0.156,,-1.8060308227477026e-05,
0.156,,-1.8726956981673105e-05,
0.156,,-1.9405953638098886e-05,
0.156,,-2.0097488272291574e-05,
0.156,,-2.0801757617103228e-05,
0.156,,-2.1518964635390964e-05,
0.156,,-2.224931817803131e-05,
0.156,,-2.299339453034749e-05,
0.156,,-2.3766213959904372e-05,
0.167,,-2.4509238592329452e-05,
0.167,,-2.5326896081381237e-05,
0.167,,-2.615631504291436e-05,
0.168,,-2.6997139193450202e-05,
0.17,,-2.7858496319616546e-05,
0.17,,-2.8740776779306966e-05,
0.171,,-2.964441204618728e-05,
0.171,,-3.05697927700183e-05,
0.171,,-3.1517282980923745e-05,
0.176,,-3.2487229613697775e-05,
0.176,,-3.34799694256085e-05,
0.176,,-3.449583399669626e-05,
0.178,,-3.553515333915466e-05,
0.178,,-3.659825850395298e-05,
0.18,,-3.768548346778846e-05,
0.18,,-3.879716650534546e-05,
0.183,,-3.9933651194497026e-05,
0.183,,-4.1095287160442945e-05,
0.183,,-4.222553212896093e-05,
0.183,,-4.346011394520588e-05,
0.184,,-4.463442610257569e-05,
0.184,,-4.587619118162489e-05,
0.184,,-4.713471891002389e-05,
0.184,,-4.841481694203282e-05,
0.189,,-4.971644502928741e-05,
0.189,,-5.10399703229681e-05,
0.193,,-5.238585239847504e-05,
0.193,,-5.375443431744384e-05,
0.193,,-5.514607213404643e-05,
0.193,,-5.656136189223216e-05,
0.194,,-5.8000694509177734e-05,
0.194,,-5.9464475225239164e-05,
0.194,,-6.095312236600112e-05,
0.194,,-6.246706649977208e-05,
0.194,,-6.400674976478392e-05,
0.194,,-6.557262533778511e-05,
0.194,,-6.716526935308602e-05,
0.194,,-6.878492714415398e-05,
0.194,,-7.043219971295576e-05,
0.194,,-7.210758126610292e-05,
0.194,,-7.377938752220274e-05,
0.194,,-7.556444519714268e-05,
